省,市,区,全名,别名,性质,等级
内蒙古,鄂尔多斯市,伊金霍洛旗,伊金霍洛旗人民医院,伊金霍洛旗人民医院,公立/综合医院,三级乙等
内蒙古,鄂尔多斯市,伊金霍洛旗,鄂尔多斯市第三人民医院,鄂尔多斯市第三人民医院,其他/综合医院,未评级
内蒙古,鄂尔多斯市,伊金霍洛旗,伊金霍洛旗妇幼保健所,伊金霍洛旗妇幼保健所,公立/妇幼保健医院,未知
