省,市,区,全名,别名,性质,等级
内蒙古,锡林郭勒盟,镶黄旗,镶黄旗人民医院,镶黄旗人民医院,公立/综合医院,未知
内蒙古,锡林郭勒盟,镶黄旗,镶黄旗妇幼保健站,镶黄旗妇幼保健站,公立/综合医院,未知
内蒙古,锡林郭勒盟,镶黄旗,镶黄旗蒙医院,镶黄旗蒙医院,公立/综合医院,未知
