省,市,区,全名,别名,性质,等级
湖南省,益阳市,资阳区,益阳市资阳人民医院,益阳市资阳人民医院,公立/综合医院,未知
湖南省,益阳市,资阳区,湖南科技大学南校区医院,湖南科技大学南校区医院,公立/综合医院,一级甲等
湖南省,益阳市,资阳区,资阳市精神病院,资阳市精神病院,公立/综合医院,未知
湖南省,益阳市,资阳区,资阳市雁江区人民医院,资阳市雁江区人民医院,公立/综合医院,一级甲等
湖南省,益阳市,资阳区,资阳市妇幼保健院,资阳市妇幼保健院,公立/综合医院,一级甲等
湖南省,益阳市,资阳区,资阳市中医院,资阳市中医院,公立/综合医院,二级乙等
湖南省,益阳市,资阳区,资阳市第三人民医院中国南车集团资阳机车厂职工医院,资阳市第三人民医院中国南车集团资阳机车厂职工医院,公立/综合医院,二级甲等
湖南省,益阳市,资阳区,资阳市人民医院,资阳市人民医院,公立/综合医院,二级甲等
湖南省,益阳市,资阳区,益阳市中医院,益阳市中医院,公立/综合医院,二级甲等
湖南省,益阳市,资阳区,益阳市第二人民医院,益阳市第二人民医院,公立/综合医院,三级甲等　　
